data_solicitacao;ano_sol;caso_sirsaelp;unidade;superintendencia;diretoria;competencia;tipopericia;perito
2025-07-31 13:24:00;2025;2025.33.3401;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa Avançada de Drogas Psicoativas;CLÓVIS
2025-07-31 13:36:00;2025;2025.1.8409;Joinville;Joinville;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;LEONARDO
2025-07-31 13:42:00;2025;2025.12.2819;Rio do Sul;Blumenau;Médico Legal;Traumatologia Forense;Lesão Corporal;ENIO
2025-07-31 13:42:00;2025;2025.14.4704;Tubarão;Criciúma;Criminalística;Identificação de veículos;Identificação Veicular;JOÃO
2025-07-31 13:53:00;2025;2025.7.1906;Brusque;Balneário Camboriú;Criminalística;Identificação de veículos;Identificação Veicular;GUILHERME
2025-07-31 13:53:00;2025;2025.2.8724;Florianópolis;Florianópolis;Criminalística;Perícias ambientais;Local de Intervenção em Área Protegida;JOÃO
2025-07-31 14:00:00;2025;2025.2.4351;Cyber;Florianópolis;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;NIKSON
2025-07-31 14:01:00;2025;2025.14.4708;Tubarão;Criciúma;Criminalística;Identificação de veículos;Identificação Veicular;VICTOR
2025-07-31 14:02:00;2025;2025.2.8725;Florianópolis;Florianópolis;Criminalística;Perícias ambientais;Local de Poluição;GUSTAVO
2025-07-31 14:03:00;2025;2025.13.491;Lages;Lages;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;ARTUR
2025-07-31 14:04:00;2025;2025.33.3628;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa Avançada de Drogas Psicoativas;ALEXANDRE
2025-07-31 14:09:00;2025;2025.15.1345;Lages;Lages;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;ARTUR
2025-07-31 14:10:00;2025;2025.2.4351;Cyber;Florianópolis;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;NIKSON
2025-07-31 14:14:00;2025;2025.19.5794;Criciúma;Criciúma;Criminalística;Local de crime contra o patrimônio;Exame de Dano;MIGUEL
2025-07-31 14:24:00;2025;2025.21.2701;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa Avançada de Drogas Psicoativas;CLÓVIS
2025-07-31 14:24:00;2025;2025.8.11214;Balneário Camboriú;Balneário Camboriú;Criminalística;Balística;Exame em Arma,  Munição e/ou Objeto;WAGNER
2025-07-31 14:29:00;2025;2025.17.2392;Criciúma;Criciúma;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;MATEUS
2025-07-31 14:30:00;2025;2025.8.11214;Balneário Camboriú;Balneário Camboriú;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;RAFAEL
2025-07-31 14:33:00;2025;2025.3.960;Canoinhas;Joinville;Criminalística;Identificação de veículos;Identificação Veicular;MARCELO
2025-07-31 14:35:00;2025;2025.8.11210;Balneário Camboriú;Balneário Camboriú;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;RAFAEL
2025-07-31 14:37:00;2025;2025.8.11436;Florianópolis;Florianópolis;Análises Forenses;Toxicologia Forense;Análise Toxicológica;BRUNA
2025-07-31 14:38:00;2025;2025.28.1613;Xanxerê;Chapecó;Criminalística;Identificação de veículos;Identificação Veicular;DIONATAN
2025-07-31 14:45:00;2025;2025.3.961;Canoinhas;Joinville;Criminalística;Identificação de veículos;Identificação Veicular;MARCELO
2025-07-31 14:57:00;2025;2025.14.4712;Tubarão;Criciúma;Criminalística;Engenharia Forense;Local de Incêndio;LEONARDO
2025-07-31 14:59:00;2025;2025.1.5941;Joinville;Joinville;Criminalística;Áudio e Imagem;Pesquisa Facial Automatizada;CARLOS
2025-07-31 15:07:00;2025;2025.8.10304;Balneário Camboriú;Balneário Camboriú;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;RAFAEL
2025-07-31 15:08:00;2025;2025.8.11352;Balneário Camboriú;Balneário Camboriú;Criminalística;Local de crime contra a vida;Local de Morte;MARCIA
2025-07-31 15:11:00;2025;2025.2.8728;Florianópolis;Florianópolis;Criminalística;Perícias ambientais;Local de Poluição;JOÃO
